ID,NAME,LAT,LONG,STATE,POPULATION,OCEAN
481,Rathdrum,-116.89659,47.8124,ID,6826,False
1069,Burbank,-118.30897,34.18084,CA,105319,False
469,Chehalis,-122.96402,46.66205,WA,7259,False
446,New Baltimore,-77.72833,38.76734,VA,8119,False
458,Ridgefield,-73.49818,41.28148,CT,7645,False
449,Mapleton,-111.57853,40.13023,UT,7979,False
484,Willow Oak,-82.01786,27.91614,FL,6732,False
447,Commerce,-95.89997,33.24706,TX,8078,False
467,Beebe,-91.87959,35.07064,AR,7315,False
487,Louisville,-89.05506,33.12374,MS,6631,False
472,Crystal City,-99.82811,28.67748,TX,7138,False
1062,Park City,-111.49797,40.64606,UT,8128,False
441,Castle Shannon,-80.02228,40.36479,PA,8316,False
508,Homeland,-117.1092,33.74308,CA,5969,False
471,Douglas,-71.73951,42.05426,MA,7168,False
465,Glastonbury Center,-72.59953,41.70093,CT,7387,False
1071,Henrico County,-77.29646,37.45771,VA,306935,False
479,Richland,-90.15842,32.23904,MS,6912,False
476,Pacific,-90.74152,38.482,MO,7002,False
442,Oroville East,-121.47519,39.51126,CA,8280,False
79,Buffalo,-78.87837,42.88645,NY,258071,False
513,Pontoon Beach,-90.08038,38.73172,IL,5836,False
109,Rochester,-77.61556,43.15478,NY,209802,False
1061,Mahtomedi,-92.9516,45.06969,MN,8116,False
483,Kennedale,-97.22585,32.6468,TX,6763,False
474,Guadalupe,-120.57184,34.97164,CA,7318,False
507,Trenton,-93.61661,40.0789,MO,6001,False
457,Cleveland,-95.08549,30.34132,TX,7675,False
470,Swanzey,-72.28175,42.8698,NH,7224,False
78,Greensboro,-79.79198,36.07264,NC,285342,False
443,Anna,-96.5486,33.349,TX,8249,False
461,Glen Ridge,-74.20376,40.80538,NJ,7527,False
57,Arlington,-97.10807,32.73569,TX,388125,False
497,Roseland,-122.72804,38.42213,CA,6325,False
526,Weiser,-116.96933,44.251,ID,5507,False
594,Buhl,-114.75949,42.59907,ID,4122,False
568,Bridgeport,-75.34518,40.10511,PA,4554,False
87,Louisville,-85.75941,38.25424,KY,243639,False
571,Mount Vernon,-91.41684,41.92195,IA,4506,False
495,Tarrant,-86.77277,33.58344,AL,6397,False
1079,Lakeport,-122.91583,39.04295,CA,4807,False
519,Willis,-95.47994,30.42493,TX,5662,False
94,Lubbock,-101.85517,33.57786,TX,249042,False
560,Avalon,-80.06756,40.5009,PA,4705,False
538,Berkeley,-87.9034,41.88892,IL,5209,False
516,Vinita,-95.15413,36.63869,OK,5743,False
534,Williamsville,-78.73781,42.96395,NY,5300,False
517,Piedmont,-97.74643,35.642,OK,5720,False
518,Forest,-89.47423,32.36459,MS,5684,False
520,Buckhannon,-80.23203,38.99399,WV,5639,False
556,Rocky Mount,-79.89198,36.99764,VA,4799,False
565,Basehor,-94.93858,39.14167,KS,4613,False
1073,Racine,-87.78285,42.72613,WI,77742,False
522,Sayre,-76.5155,41.97896,PA,5587,False
559,Granite Falls,-81.43065,35.79652,NC,4722,False
523,Duquesne,-79.85977,40.38146,PA,5565,False
586,Caseyville,-90.02566,38.63672,IL,4245,False
543,Clover,-81.22646,35.11125,SC,5094,False
541,Shenandoah,-95.37221,40.76555,IA,5150,False
530,Webster,-77.42999,43.21229,NY,5399,False
537,Sawmills,-81.47454,35.82485,NC,5240,False
503,Airway Heights,-117.59327,47.64461,WA,6114,False
529,Northfield,-87.7809,42.09975,IL,5420,False
1078,Taylor,-97.40944,30.57076,TX,16702,False
531,Palermo,-121.53802,39.43544,CA,5382,False
536,Springfield,-85.23916,42.32643,MI,5260,False
561,Fruitland,-116.91655,44.00766,ID,4684,False
570,Vine Grove,-85.98135,37.81007,KY,4520,False
525,Lake Forest,-80.1831,25.97759,FL,5522,False
527,Lake Murray of Richland,-81.2645,34.12048,SC,5484,False
96,Durham,-78.89862,35.99403,NC,257636,False
532,Groveport,-82.88379,39.8784,OH,5363,False
500,Schuyler,-97.05948,41.44723,NE,6211,False
596,Harrisburg,-96.69727,43.43137,SD,4089,False
564,Whiteville,-89.14951,35.32647,TN,4638,False
528,Goshen,-74.32432,41.40204,NY,5454,False
504,Paulsboro,-75.24046,39.83039,NJ,6097,False
1082,Hempstead,-96.07829,30.09744,TX,7110,False
554,Manheim,-76.39496,40.16343,PA,4858,False
593,Middletown,-77.54471,39.44371,MD,4136,False
576,Mauston,-90.07735,43.79719,WI,4423,False
844,Harbor Beach,-82.65132,43.84474,MI,1703,False
585,Trenton,-88.94145,35.98062,TN,4264,False
786,New Palestine,-85.88915,39.72199,IN,2055,False
578,Dimmitt,-102.31186,34.5509,TX,4393,False
1080,Garfield County,-107.90395,39.59931,CO,56389,False
597,Ridgway,-78.72864,41.42034,PA,4078,False
563,Sultan,-121.81651,47.8626,WA,4651,False
572,San Diego,-98.2389,27.76391,TX,4488,False
588,South Greeley,-104.80636,41.09693,WY,4217,False
582,Spindale,-81.92927,35.36012,NC,4321,False
626,Greenhills,-84.523,39.26811,OH,3615,False
583,Clay Center,-96.77114,37.51946,KS,4300,False
627,Maeser,-109.58681,40.47718,UT,3601,False
580,Osage Beach,-92.65277,38.12956,MO,4351,False
552,Gilmer,-94.94244,32.72875,TX,4905,False
587,Northwoods,-90.28345,38.70422,MO,4227,False
82,Henderson,-114.98194,36.0397,NV,257729,False
553,Piedmont,-85.61135,33.92455,AL,4878,False
611,Arnold,-120.35103,38.25547,CA,3843,False
98,Glendale,-112.18599,33.53865,AZ,240126,False
573,Battlement Mesa,-108.02507,39.44137,CO,4471,False
545,Shanor-Northvue,-79.91562,40.91045,PA,5051,False
1083,Helena,-112.03611,46.59271,MT,30581,False
621,High Point,-82.52468,28.54687,FL,3686,False
558,Breckenridge Hills,-90.36734,38.7145,MO,4746,False
80,Plano,-96.69889,33.01984,TX,283558,False
555,La Crescent,-91.30403,43.82802,MN,4830,False
610,Pilot Point,-96.96056,33.3965,TX,3856,False
577,Ludlow,-84.54744,39.09256,KY,4407,False
1081,North Richland Hills,-97.2289,32.8343,TX,69204,False
614,El Jebel,-107.09033,39.39498,CO,3801,False
1084,Concord,-71.53757,43.20814,NH,42620,False
575,Sullivan,-88.60784,39.59948,IL,4440,False
615,Lowell,-85.34196,42.93364,MI,3783,False
551,Sulphur,-96.96835,34.50787,OK,4929,False
579,Sayre,-99.6401,35.29116,OK,4375,False
591,Soldotna,-151.05833,60.48778,AK,4163,False
641,Garnett,-95.24192,38.28058,KS,3415,False
567,Mount Vernon,-93.81854,37.10367,MO,4575,False
590,Westway,-106.57805,31.95871,TX,4188,False
592,Sherman,-89.60482,39.89366,IL,4148,False
623,Rochester,-80.28645,40.70229,PA,3657,False
625,Eastover,-78.8,35.1,NC,3628,False
1086,Ferndale,-122.59101,48.8465,WA,13010,False
632,Pulaski,-88.2426,44.67222,WI,3539,False
606,Lawrence Park,-76.8008,40.34564,PA,3915,False
635,Oak Valley,-75.1624,39.80122,NJ,3483,False
700,Dupont,-75.74547,41.32508,PA,2711,False
683,Winner,-99.85901,43.37667,SD,2897,False
648,Abingdon,-90.4018,40.80448,IL,3319,False
608,Portland,-84.90305,42.8692,MI,3883,False
647,Holton,-95.73637,39.46527,KS,3329,False
680,Norton,-99.89151,39.83389,KS,2928,False
381,Bardstown,-85.4669,37.80923,KY,11700,False
678,Milaca,-93.65441,45.7558,MN,2946,False
642,Goldendale,-120.82173,45.82068,WA,3407,False
673,Dresden,-88.70811,36.29145,TN,3005,False
677,Yadkinville,-80.65951,36.13458,NC,2959,False
672,Riverview,-93.06964,38.27586,MO,3014,False
92,Madison,-89.40123,43.07305,WI,248951,False
669,Lodi,-89.52651,43.31388,WI,3050,False
636,Lowville,-75.49185,43.78674,NY,3470,False
630,Harrington,-75.5777,38.92372,DE,3562,False
649,Pine Ridge,-102.55627,43.02554,SD,3308,False
1089,Northglenn,-104.9872,39.88554,CO,39197,False
609,Lake Erie Beach,-79.06698,42.62423,NY,3872,False
629,Watertown,-73.11817,41.60621,CT,3574,False
679,Rural Hall,-80.29338,36.24042,NC,2937,False
613,Zelienople,-80.13673,40.79451,PA,3812,False
667,Macungie,-75.55519,40.51593,PA,3074,False
671,Lakewood,-80.35008,33.84683,SC,3032,False
634,Mission Hills,-94.6169,39.01778,KS,3498,False
666,Hideaway,-95.45746,32.49042,TX,3083,False
814,Granby,-105.93946,40.0861,CO,1864,False
607,Vandalia,-91.48849,39.31087,MO,3899,False
668,West Lake Hills,-97.80195,30.29798,TX,3063,False
687,Many,-93.48406,31.56878,LA,2853,False
619,Eveleth,-92.53991,47.46243,MN,3718,False
684,Wolfdale,-80.28784,40.19285,PA,2888,False
670,Sloatsburg,-74.19292,41.15454,NY,3039,False
633,South Glens Falls,-73.63512,43.29924,NY,3518,False
868,Kerens,-96.22775,32.13321,TX,1573,False
637,Mayfield,-84.37272,39.49478,OH,3294,False
643,Fort Lee,-77.33442,37.24694,VA,3393,False
93,Winston-Salem,-80.24422,36.09986,NC,229617,False
605,Marshall,-87.69364,39.39143,IL,3933,False
646,Sugar Creek,-94.44467,39.10973,MO,3345,False
640,Beechwood,-90.82677,32.32765,MS,3426,False
651,Wynantskill,-73.64428,42.69675,NY,3276,False
1092,Spencer,-71.9923,42.24398,MA,5700,False
1093,Oxford,-84.74523,39.507,OH,22104,False
713,Fairmount,-82.17097,36.58511,TN,2600,False
725,Reno,-97.57725,32.94429,TX,2494,False
698,Bel-Ridge,-90.32539,38.7095,MO,2737,False
663,Lesslie,-80.95647,34.8907,SC,3112,False
691,Emmitsburg,-77.32693,39.70454,MD,2814,False
689,Watkinsville,-83.40877,33.8629,GA,2832,False
130,Glendale,-118.25508,34.14251,CA,191719,False
739,Coopersburg,-75.39046,40.51149,PA,2386,False
736,Las Animas,-103.22271,38.06667,CO,2410,False
715,Fiskdale,-72.11341,42.11621,MA,2583,False
654,Carrollton,-81.08565,40.57284,OH,3241,False
692,Abernathy,-101.84295,33.8323,TX,2805,False
699,Tilton,-87.64752,40.09531,IL,2724,False
704,Bunnell,-81.25784,29.46609,FL,2676,False
722,Chesterland,-81.33789,41.52227,OH,2521,False
664,Pomona,-74.0432,41.16704,NY,3103,False
719,Wayne Heights,-77.55388,39.74371,PA,2545,False
714,Brusly,-91.25372,30.39436,LA,2589,False
694,Wendell,-114.70422,42.77574,ID,2782,False
726,Mineral Point,-90.17985,42.86,WI,2487,False
751,Lakeview,-120.34579,42.18877,OR,2294,False
659,Cherry Valley,-88.94899,42.23474,IL,3162,False
746,Genoa,-83.35909,41.51811,OH,2336,False
702,Palisade,-108.35092,39.11026,CO,2692,False
716,Springdale,-80.78618,34.68931,SC,2574,False
665,North Shore,-79.65836,37.08209,VA,3094,False
655,Moosup,-71.88091,41.71288,CT,3231,False
724,Folkston,-82.01131,30.83095,GA,2502,False
741,Davis Junction,-89.09316,42.10169,IL,2373,False
696,Lula,-83.66629,34.3876,GA,2758,False
733,Fillmore,-112.32355,38.96885,UT,2435,False
133,Columbus,-84.98771,32.46098,GA,200579,False
686,Indian Hills,-85.66274,38.27257,KY,2868,False
738,Morgantown,-86.6836,37.2256,KY,2394,False
685,Richgrove,-119.10788,35.79662,CA,2882,False
703,Davis,-97.11946,34.50453,OK,2683,False
99,Lexington,-84.47772,37.98869,KY,225366,False
693,Electra,-98.91896,34.02926,TX,2791,False
662,Millen,-81.94928,32.80405,GA,3120,False
734,Raceland,-82.7285,38.54008,KY,2424,False
676,Meridian,-104.84528,39.53957,CO,2970,False
695,Philipsburg,-78.22057,40.89645,PA,2770,False
905,Janesville,-120.52411,40.29656,CA,1408,False
1101,West Hollywood,-118.36174,34.09001,CA,36222,False
1100,Kent County,-75.50461,39.09595,DE,162310,False
1106,Bowie,-76.73028,38.94278,MD,58025,False
755,Jonesville,-84.6619,41.98421,MI,2258,False
1103,Lebanon,-72.25176,43.64229,NH,13579,False
747,Haynesville,-93.14016,32.96208,LA,2327,False
748,West Branch,-91.34655,41.67141,IA,2322,False
718,New Lisbon,-90.16541,43.87914,WI,2554,False
1097,East Lansing,-84.48387,42.73698,MI,48471,False
802,Redstone Arsenal,-86.64764,34.68387,AL,1946,False
778,Lakeview,-117.11809,33.83863,CA,2104,False
775,Hamlin,-100.12649,32.88483,TX,2124,False
732,Moline Acres,-90.24011,38.74699,MO,2442,False
795,Nettleton,-88.62227,34.089,MS,1992,False
752,Mabton,-119.99671,46.21485,WA,2286,False
745,Hardinsburg,-86.46053,37.78006,KY,2343,False
759,Camden,-75.74796,43.33451,NY,2231,False
711,Parksdale,-120.02294,36.94717,CA,2621,False
788,Ferrum,-80.01337,36.92292,VA,2043,False
792,Lake Odessa,-85.13834,42.78476,MI,2018,False
749,Stockbridge,-73.32039,42.28759,MA,2316,False
750,Carthage,-85.95165,36.25228,TN,2306,False
163,Tempe Junction,-111.94348,33.41421,AZ,158368,False
757,Belgium,-87.85037,43.49972,WI,2245,False
793,Haskell,-95.67415,35.82038,OK,2007,False
744,Liberty City,-94.94855,32.44543,TX,2351,False
772,North Prairie,-88.40537,42.93446,WI,2141,False
709,Portage,-78.67224,40.38868,PA,2638,False
139,Worcester,-71.80229,42.26259,MA,181045,False
710,Van,-95.63718,32.52486,TX,2632,False
777,Millers Creek,-81.23759,36.1893,NC,2112,False
758,Olmos Park,-98.48752,29.47884,TX,2237,False
721,Middleport,-82.04875,39.00175,OH,2530,False
773,Mays Landing,-74.72766,39.45234,NJ,2135,False
436,Eagle Point,-122.80282,42.47263,OR,8469,False
121,Akron,-81.51901,41.08144,OH,199110,False
781,Whitney,-97.3214,31.95182,TX,2087,False
707,Rhinebeck,-73.91264,41.92676,NY,2657,False
712,Braddock Heights,-77.5036,39.41871,MD,2608,False
742,Grand Forks Air Force Base,-97.38664,47.95493,ND,2367,False
776,South Greensburg,-79.54476,40.2784,PA,2117,False
743,Montague,-86.35701,43.41668,MI,2361,False
753,Graceville,-85.5166,30.95685,FL,2278,False
922,Pelahatchie,-89.79841,32.31292,MS,1334,False
1108,Norwich,-72.07591,41.52426,CT,39899,False
852,Willard,-111.83743,40.70634,UT,1660,False
799,Colfax,-120.95328,39.10073,CA,1963,False
769,Friday Harbor,-123.01712,48.53427,WA,2162,False
805,New Town,-102.49018,47.98085,ND,1925,False
862,Mill Hall,-77.48443,41.10729,PA,1613,False
804,Greensboro,-75.80493,38.97372,MD,1931,False
145,Santa Clarita,-118.54259,34.39166,CA,176320,False
768,Bridgeport,-87.76003,38.70588,IL,2168,False
